MVMAE_L,Actor_L,Total_Loss,Batch_Reward_Mean
0.503134548664093,-5.781895160675049,-5.530327796936035,-0.16137707233428955
0.49928730726242065,-5.814854621887207,-5.565210819244385,-0.1608160436153412
0.5010005235671997,-5.789715766906738,-5.539215564727783,-0.16025501489639282
0.49956658482551575,-5.777655601501465,-5.527872085571289,-0.16025501489639282
0.48633459210395813,-5.676365852355957,-5.43319845199585,-0.15857194364070892
0.48382100462913513,-5.669650077819824,-5.42773962020874,-0.1591329574584961
0.4580897092819214,-5.6126508712768555,-5.38360595703125,-0.15688887238502502
0.44983193278312683,-5.6106343269348145,-5.38571834564209,-0.16249911487102509
0.448164165019989,-5.613499641418457,-5.38941764831543,-0.15857192873954773
0.42520469427108765,-5.551882743835449,-5.339280605316162,-0.1591329574584961
0.42925623059272766,-5.591185569763184,-5.376557350158691,-0.1608160436153412
0.42799511551856995,-5.645088195800781,-5.431090831756592,-0.15969398617744446
0.41871076822280884,-5.502525329589844,-5.293169975280762,-0.16193808615207672
0.4044796824455261,-5.640348434448242,-5.438108444213867,-0.1608160436153412
0.4061640501022339,-5.65231466293335,-5.449232578277588,-0.16025501489639282
0.4059574007987976,-5.61610221862793,-5.413123607635498,-0.1591329574584961
0.3993878662586212,-5.679679870605469,-5.47998571395874,-0.15969398617744446
0.38340234756469727,-5.61240816116333,-5.420706748962402,-0.1608160436153412
0.38252994418144226,-5.6710405349731445,-5.479775428771973,-0.16249912977218628
0.3728557527065277,-5.605344772338867,-5.418916702270508,-0.1608160436153412
0.36784249544143677,-5.612336158752441,-5.428414821624756,-0.15969398617744446
0.3806217312812805,-5.572513580322266,-5.382202625274658,-0.1608160436153412
0.37114831805229187,-5.551023483276367,-5.36544942855835,-0.16137707233428955
0.37080687284469604,-5.554994583129883,-5.369591236114502,-0.15801091492176056
0.3446522653102875,-5.603074073791504,-5.430747985839844,-0.16193810105323792
0.3650135397911072,-5.603222370147705,-5.420715808868408,-0.1608160436153412
0.34763509035110474,-5.619561195373535,-5.445743560791016,-0.15801091492176056
0.356736958026886,-5.588631629943848,-5.4102630615234375,-0.1608160436153412
0.3501233458518982,-5.685816764831543,-5.5107550621032715,-0.1591329574584961
0.36628472805023193,-5.662854194641113,-5.479712009429932,-0.15969398617744446
0.33649247884750366,-5.71849250793457,-5.550246238708496,-0.1608160436153412
0.33696842193603516,-5.7449846267700195,-5.576500415802002,-0.16249911487102509
0.35281896591186523,-5.803849220275879,-5.627439498901367,-0.16025501489639282
0.34599581360816956,-5.832667350769043,-5.659669399261475,-0.16137707233428955
0.34793806076049805,-5.784297943115234,-5.610328674316406,-0.15969398617744446
0.32685592770576477,-5.880926132202148,-5.717498302459717,-0.16249912977218628
0.32887202501296997,-5.930891036987305,-5.766455173492432,-0.16025501489639282
0.32692191004753113,-5.840298652648926,-5.676837921142578,-0.16137707233428955
0.3275570571422577,-5.866039276123047,-5.702260971069336,-0.15969398617744446
0.3159107267856598,-5.855285167694092,-5.697329998016357,-0.1608160436153412
0.3449472486972809,-5.893342018127441,-5.7208685874938965,-0.16025501489639282
0.33299291133880615,-5.9128007888793945,-5.746304512023926,-0.1591329574584961
0.324908971786499,-5.847978591918945,-5.685523986816406,-0.15969398617744446
0.31991493701934814,-5.93140983581543,-5.7714524269104,-0.15969398617744446
0.32835784554481506,-5.958944320678711,-5.794765472412109,-0.1608160436153412
0.3241588771343231,-6.035794258117676,-5.873714923858643,-0.1608160436153412
0.31623923778533936,-6.102931022644043,-5.9448113441467285,-0.16193810105323792
0.319091260433197,-6.131139755249023,-5.971594333648682,-0.1608160436153412
0.3186253011226654,-5.963131427764893,-5.803818702697754,-0.1574498862028122
0.3159542381763458,-6.0511579513549805,-5.893180847167969,-0.16025501489639282
0.3064291775226593,-5.918800354003906,-5.765585899353027,-0.16137707233428955
0.31342053413391113,-5.900165557861328,-5.743455410003662,-0.16193810105323792
0.3110135495662689,-5.750436782836914,-5.594930171966553,-0.16193810105323792
0.3305710554122925,-5.682997703552246,-5.517712116241455,-0.16025501489639282
0.3189854323863983,-5.657586097717285,-5.498093605041504,-0.15969398617744446
0.30958735942840576,-5.580116271972656,-5.425322532653809,-0.16249911487102509
0.3125786781311035,-5.563074111938477,-5.406785011291504,-0.16025501489639282
